legacy_delivery_surface_report_version=1
mode=report
source_files_scanned=3056
built_images_scanned=0
source_contents_emitted=false
rancher_fleet_runtime_policy=prohibited
historical_allowlist_is_runtime_authorization=false
generated_chart=helm_template
generated_cli=go_run
summary scope=active_runtime signature=banned_rancher_fleet files=0 matches=0
summary scope=active_runtime signature=legacy_argo files=517 matches=11899
surface scope=active_runtime signature=legacy_argo path=.github/pull_request_template.md matches=1
surface scope=active_runtime signature=legacy_argo path=.github/workflows/smoke-fresh-cluster.yaml matches=3
surface scope=active_runtime signature=legacy_argo path=LAUNCH_READINESS_AUDIT.md matches=8
surface scope=active_runtime signature=legacy_argo path=Makefile matches=13
surface scope=active_runtime signature=legacy_argo path=P2_P3_TRIAGED_BACKLOG.md matches=63
surface scope=active_runtime signature=legacy_argo path=PARITY_AND_HARDENING_REMEDIATION_2026-07-28.md matches=245
surface scope=active_runtime signature=legacy_argo path=READINESS_AND_PARITY_REMEDIATION.md matches=33
surface scope=active_runtime signature=legacy_argo path=README.md matches=18
surface scope=active_runtime signature=legacy_argo path=SPRINT_PROGRESS.md matches=1
surface scope=active_runtime signature=legacy_argo path=cmd/astro/argocd.go matches=71
surface scope=active_runtime signature=legacy_argo path=cmd/astro/main.go matches=1
surface scope=active_runtime signature=legacy_argo path=cmd/keyrotate/main.go matches=2
surface scope=active_runtime signature=legacy_argo path=cmd/server/main.go matches=7
surface scope=active_runtime signature=legacy_argo path=cmd/worker/main.go matches=9
surface scope=active_runtime signature=legacy_argo path=deploy/agent/template.go matches=4
surface scope=active_runtime signature=legacy_argo path=deploy/agent/template_argocd_cache_rbac_test.go matches=8
surface scope=active_runtime signature=legacy_argo path=deploy/agent/template_test.go matches=1
surface scope=active_runtime signature=legacy_argo path=deploy/chart/Chart.lock matches=1
surface scope=active_runtime signature=legacy_argo path=deploy/chart/Chart.yaml matches=5
surface scope=active_runtime signature=legacy_argo path=deploy/chart/DEPENDENCIES.md matches=3
surface scope=active_runtime signature=legacy_argo path=deploy/chart/README.md matches=18
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/Chart.yaml matches=7
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/README.md matches=491
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/NOTES.txt matches=7
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/_common.tpl matches=19
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/_helpers.tpl matches=76
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/_versions.tpl matches=1
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/aggregate-roles.yaml matches=9
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-application-controller/clusterrole.yaml matches=2
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-application-controller/clusterrolebinding.yaml matches=5
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-application-controller/deployment.yaml matches=112
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-application-controller/metrics.yaml matches=5
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-application-controller/networkpolicy.yaml matches=4
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-application-controller/pdb.yaml matches=4
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-application-controller/prometheusrule.yaml matches=5
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-application-controller/role.yaml matches=5
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-application-controller/rolebinding.yaml matches=6
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-application-controller/serviceaccount.yaml matches=3
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-application-controller/servicemonitor.yaml matches=6
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-application-controller/statefulset.yaml matches=116
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-application-controller/vpa.yaml matches=4
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-applicationset/certificate.yaml matches=19
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-applicationset/clusterrole.yaml matches=14
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-applicationset/clusterrolebinding.yaml matches=11
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-applicationset/deployment.yaml matches=139
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-applicationset/httproute.yaml matches=13
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-applicationset/ingress.yaml matches=31
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-applicationset/metrics.yaml matches=19
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-applicationset/networkpolicy.yaml matches=12
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-applicationset/pdb.yaml matches=13
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-applicationset/role.yaml matches=14
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-applicationset/rolebinding.yaml matches=11
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-applicationset/service.yaml matches=15
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-applicationset/serviceaccount.yaml matches=10
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-applicationset/servicemonitor.yaml matches=24
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-applicationset/vpa.yaml matches=15
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-commit-server/deployment.yaml matches=26
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-commit-server/metrics.yaml matches=5
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-commit-server/networkpolicy.yaml matches=4
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-commit-server/service.yaml matches=4
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-commit-server/serviceaccount.yaml matches=3
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-commit-server/vpa.yaml matches=4
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-configs/argocd-cm.yaml matches=4
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-configs/argocd-cmd-params-cm.yaml matches=4
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-configs/argocd-cmp-cm.yaml matches=4
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-configs/argocd-dex-server-tls-secret.yaml matches=3
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-configs/argocd-gpg-keys-cm.yaml matches=3
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-configs/argocd-notifications-cm.yaml matches=5
